source_id,category,url,crawl_scope,enabled
actpermisiv,services,https://actpermisiv.gov.md/#/home,same_domain,true
chisinau-projects-new,transparency_projects,https://proiecte.chisinau.md/ro/newprojects,same_domain,true
extrascolar-activities,education,https://extrascolar.md/activities,same_domain,true
chisinau-main,transparency_projects,https://chisinau.md/,same_domain,true
chisinau-transparency,transparency_projects,https://www.chisinau.md/ro/transparenta,path_prefix,true
chisinau-suburbs,transparency_projects,https://suburbii.chisinau.md/,same_domain,true
chisinau-projects,transparency_projects,https://proiecte.chisinau.md/,same_domain,true
mobility-chisinau,urban_mobility,https://mobilitatechisinau.md/,same_domain,true
rtec,urban_mobility,https://rtec.md/,same_domain,true
autourban-suburban-routes,urban_mobility,https://autourban.md/ro/rute/suburbane,path_prefix,true
exdrupo,urban_mobility,https://exdrupo.md/,same_domain,true
dgaurf,architecture_green_utilities,https://dgaurf.md/,same_domain,true
dglca,architecture_green_utilities,https://dglca.md/,same_domain,true
autosalubritate-contact,architecture_green_utilities,https://autosalubritate.md/informatie-de-contact/,path_prefix,true
acc,architecture_green_utilities,https://www.acc.md/,same_domain,true
agsv-tree-works,architecture_green_utilities,https://agsv.md/diagrama-defrisare-curatare-a-arborilor-2/,path_prefix,true
chisinau-education,education,https://chisinauedu.dgets.md/,same_domain,true
chisinau-education-ordine,education,https://chisinauedu.dgets.md/ordine,path_prefix,true
dets-riscani,education,https://detsriscani.md/,same_domain,true
dets-ciocana,education,https://detsciocana.educ.md/,same_domain,true
dets-centru,education,https://detscentru.md/,same_domain,true
dets-buiucani,education,https://buiucanidets.md/,same_domain,true
dets-botanica,education,https://detsbotanica.md/,same_domain,true
education-online,education,https://educatieonline.md/,same_domain,true
extrascolar,education,https://extrascolar.md/,same_domain,true
egradinita,education,https://egradinita.md/,same_domain,true
escoala,education,https://escoala.chisinau.md/,same_domain,true
dgams,healthcare,https://dgams.md/,same_domain,true
help-chisinau,healthcare,https://help.chisinau.md/,same_domain,true
amt-botanica,healthcare,https://amt-botanica.md/,same_domain,true
amt-centru,healthcare,https://amt-centru.md/,same_domain,true
amt-buiucani,healthcare,https://amtbuiucani.md/,same_domain,true
amt-ciocana,healthcare,https://amt-ciocana.md/,same_domain,true
amt-riscani,healthcare,http://amtriscani.md/,same_domain,true
district-botanica,district_administration,https://botanica.md/,same_domain,true
district-centru,district_administration,https://chisinaucentru.md/,same_domain,true
district-ciocana,district_administration,https://ciocana.md/,same_domain,true
district-rascani,district_administration,https://rascani.md/,same_domain,true
district-buiucani,district_administration,https://preturabuiucani.md/,same_domain,true
commerce,services,https://comert.chisinau.md/,same_domain,true
visit-chisinau,services,https://visit.chisinau.md/,same_domain,true
invest-chisinau,services,https://invest.chisinau.md/,same_domain,true
startup-youth-migrants,services,https://proiecte.chisinau.md/ro/pv-289-startup-pentru-tineri-si-migranti,path_prefix,true
e-tineret,services,https://e-tineret.md/,same_domain,true
infocom,other_public_services,http://www.infocom.md/,same_domain,true
liftservice,other_public_services,https://liftservice.md/,same_domain,true
